Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Under Construction,3150000.0,635.0,375.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Ready to Move,6300000.0,579.0,579.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Ready to Move,5400000.0,850.0,585.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,1200.0
Under Construction,9000000.0,1050.0,815.0,Thane,Apartment,2,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,Freehold,Y,3200.0
Under Construction,4950000.0,561.0,419.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",Y,Freehold,Y,
Under Construction,6570000.0,1067.0,667.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,2.0
Ready to Move,5500000.0,725.0,550.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Co-operative Society,Y,2000.0
Ready to Move,4200000.0,650.0,585.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,Y,1500.0
Under Construction,3449000.0,592.0,370.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",Y,Freehold,Y,3.0
Ready to Move,5000000.0,644.0,430.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Under Construction,2990000.0,550.0,370.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,1200.0
Under Construction,4190000.0,850.0,570.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,1500.0
Ready to Move,4900000.0,595.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Co-operative Society,Y,
Ready to Move,2187500.0,595.0,450.0,Thane,Apartment,1,1.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,1000.0
Ready to Move,4700000.0,695.0,462.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Co-operative Society,Y,3.0
Under Construction,10450000.0,,980.0,Thane,Apartment,3,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,Freehold,Y,1600.0
Under Construction,12000000.0,1350.0,927.0,Thane,Apartment,3,3.0,1 Open,"Kalyan West, Thane",N,Power Of Attorney,Y,2500.0
Under Construction,7000000.0,960.0,650.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,Freehold,Y,2500.0
Under Construction,7000000.0,1010.0,761.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,0.0
Ready to Move,4800000.0,711.0,460.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,Freehold,Y,4.0
Under Construction,9500000.0,1000.0,661.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,4500.0
